,keys,groups,values,name
37,KillsShotgun,Kill Statistics,131.0,76561198341440909
38,KillsJag7,Kill Statistics,92.0,76561198341440909
39,GrenadeKills,Kill Statistics,60.0,76561198341440909
40,KillsCrossbow,Kill Statistics,1.0,76561198341440909
41,BarnRebelDoor,Milestones,19.0,76561198341440909
42,NPCLab,Milestones,1.0,76561198341440909
43,NpcSphynx,Milestones,1.0,76561198341440909
44,DancingInTheRain,Milestones,3.0,76561198341440909
45,StorytimeDonk,Milestones,1.0,76561198341440909
46,MushroomsAte,Miscellaneous,61.0,76561198341440909
47,CoconutsAte,Miscellaneous,37.0,76561198341440909
48,DistanceTraveled,Miscellaneous,743433.0,76561198341440909
49,GrassCut,Miscellaneous,6162.0,76561198341440909
50,AccountExpIntoCurrentLevelNew,Miscellaneous,2140.0,76561198341440909
51,ParachuteSplats,Miscellaneous,124.0,76561198341440909
52,AccountLevelNew,Miscellaneous,69.0,76561198341440909
53,BowHitsOneMatch,Miscellaneous,6.0,76561198341440909
54,SuperJumpRolls,Miscellaneous,71422.0,76561198341440909
55,CampfiresUsed,Miscellaneous,36.0,76561198341440909
56,BananOfferings,Miscellaneous,1.0,76561198341440909
57,Scarecrows,Miscellaneous,6.0,76561198341440909
58,MoleCrates,Miscellaneous,40.0,76561198341440909
59,TimePlayedSeconds,Miscellaneous,151803.0,76561198341440909
60,ChestOpens,Miscellaneous,722.0,76561198341440909
61,HealthJuiceDrank,Miscellaneous,42340.0,76561198341440909
62,DistanceTraveledIceW2,Miscellaneous,6357.0,76561198341440909
63,CrabDance,Miscellaneous,6.0,76561198341440909
64,RatGG,Miscellaneous,1.0,76561198341440909
65,TapeUsed,Miscellaneous,1513.0,76561198341440909
66,Deaths,Solo,32.0,76561198341440909
67,Kills,Solo,121.0,76561198341440909
68,Wins,Solo,14.0,76561198341440909
69,MeleeVictoriesSolo,Solo,1.0,76561198341440909
70,MostKills,Solo,9.0,76561198341440909
71,Top5,Solo,29.0,76561198341440909
72,Games,Solo,46.0,76561198341440909
73,Top2Squads,Squads,60.0,76561198341440909
74,DeathsSquads,Squads,175.0,76561198341440909
75,WinsSquads,Squads,37.0,76561198341440909
76,KillsSquads,Squads,293.0,76561198341440909
77,MostKillsSquads,Squads,11.0,76561198341440909
78,GamesSquads,Squads,203.0,76561198341440909
79,BananaHitsEnemyOnly,Combat,117.0,76561199064575506
80,EnemyArmorBroken,Combat,2827.0,76561199064575506
81,BananaHits,Combat,198.0,76561199064575506
82,DestructiblesDestroyed,Combat,11384.0,76561199064575506
83,DamageDealt,Combat,318754.0,76561199064575506
84,SkunkBombDamageDealt,Combat,4277.0,76561199064575506
85,Healing,Combat,3581.0,76561199064575506
86,WinsCustom1B,Custom1B,17.0,76561199064575506
87,DeathsCustom1B,Custom1B,117.0,76561199064575506
88,FlagCapsB,Custom1B,3.0,76561199064575506
89,KillsCustom1B,Custom1B,377.0,76561199064575506
90,MostKillsCustom1B,Custom1B,25.0,76561199064575506
91,GamesCustom1B,Custom1B,24.0,76561199064575506
92,MostKillsDuos,Duos,19.0,76561199064575506
93,Top3Duos,Duos,53.0,76561199064575506
94,KillsDuos,Duos,526.0,76561199064575506
95,DeathsDuos,Duos,74.0,76561199064575506
96,GamesDuos,Duos,111.0,76561199064575506
97,WinsDuos,Duos,39.0,76561199064575506
98,CandyCorn,Event,34459.0,76561199064575506
99,KillsM16,Kill Statistics,94.0,76561199064575506
100,KillsMinigun,Kill Statistics,30.0,76561199064575506
101,KillsHuntingRifle,Kill Statistics,22.0,76561199064575506
102,KillsMagnum,Kill Statistics,140.0,76561199064575506
103,KillsJag7,Kill Statistics,74.0,76561199064575506
104,KillsThomas,Kill Statistics,69.0,76561199064575506
105,KillsSilencedPistol,Kill Statistics,63.0,76561199064575506
106,MeleeKills,Kill Statistics,24.0,76561199064575506
107,KillsDeagle,Kill Statistics,82.0,76561199064575506
108,KillsSMG,Kill Statistics,111.0,76561199064575506
109,KillsSniper,Kill Statistics,33.0,76561199064575506
110,KillsCrossbow,Kill Statistics,13.0,76561199064575506
111,KillsEgg,Kill Statistics,21.0,76561199064575506
112,KillsBow,Kill Statistics,13.0,76561199064575506
113,KillsAK,Kill Statistics,513.0,76561199064575506
114,KillsDart,Kill Statistics,22.0,76561199064575506
115,KillsShotgun,Kill Statistics,429.0,76561199064575506
116,KillsPistol,Kill Statistics,17.0,76561199064575506
117,KillsDualPistol,Kill Statistics,60.0,76561199064575506
118,VehicleKills,Kill Statistics,11.0,76561199064575506
119,EmuKills,Kill Statistics,6.0,76561199064575506
120,GrenadeKills,Kill Statistics,70.0,76561199064575506
121,DancingInTheRain,Milestones,3.0,76561199064575506
122,BarnRebelDoor,Milestones,2.0,76561199064575506
123,NPCLab,Milestones,1.0,76561199064575506
124,NoDancing,Milestones,1.0,76561199064575506
125,NpcSphynx,Milestones,1.0,76561199064575506
126,CampfiresUsed,Miscellaneous,51.0,76561199064575506
127,BowHitsOneMatch,Miscellaneous,12.0,76561199064575506
128,AccountLevelNew,Miscellaneous,70.0,76561199064575506
129,ChickenWins,Miscellaneous,1.0,76561199064575506
130,GalleryTargetsHitBow,Miscellaneous,1.0,76561199064575506
131,AccountExpIntoCurrentLevelNew,Miscellaneous,2701.0,76561199064575506
132,GrassCut,Miscellaneous,9009.0,76561199064575506
133,DistanceTraveled,Miscellaneous,573167.0,76561199064575506
134,CoconutsAte,Miscellaneous,129.0,76561199064575506
135,ParachuteSplats,Miscellaneous,58.0,76561199064575506
136,RatGG,Miscellaneous,1.0,76561199064575506
137,Scarecrows,Miscellaneous,5.0,76561199064575506
138,MoleCrates,Miscellaneous,58.0,76561199064575506
139,MushroomsAte,Miscellaneous,89.0,76561199064575506
140,HealthJuiceDrank,Miscellaneous,37154.0,76561199064575506
141,SuperJumpRolls,Miscellaneous,51596.0,76561199064575506
142,CrabDance,Miscellaneous,31.0,76561199064575506
143,TapeUsed,Miscellaneous,1635.0,76561199064575506
144,DistanceTraveledIceW2,Miscellaneous,2914.0,76561199064575506
145,TimePlayedSeconds,Miscellaneous,127546.0,76561199064575506
146,ChestOpens,Miscellaneous,746.0,76561199064575506
147,GalleryTargetsHit,Miscellaneous,2.0,76561199064575506
148,BananOfferings,Miscellaneous,1.0,76561199064575506
149,NoArmorVictoriesSolo,Solo,1.0,76561199064575506
150,Kills,Solo,976.0,76561199064575506
151,PacifistVictoriesSolo,Solo,1.0,76561199064575506
152,Deaths,Solo,194.0,76561199064575506
153,Games,Solo,224.0,76561199064575506
154,MeleeVictoriesSolo,Solo,1.0,76561199064575506
155,MostKills,Solo,25.0,76561199064575506
156,Top5,Solo,77.0,76561199064575506
157,Wins,Solo,30.0,76561199064575506
158,DeathsSquads,Squads,137.0,76561199064575506
159,GamesSquads,Squads,168.0,76561199064575506
160,KillsSquads,Squads,420.0,76561199064575506
161,Top2Squads,Squads,56.0,76561199064575506
162,WinsSquads,Squads,39.0,76561199064575506
163,MostKillsSquads,Squads,19.0,76561199064575506
164,DamageDealt,Combat,2365177.0,76561198837653785
165,DestructiblesDestroyed,Combat,30441.0,76561198837653785
166,BananaHits,Combat,663.0,76561198837653785
167,SkunkBombDamageDealt,Combat,74306.0,76561198837653785
168,Healing,Combat,22616.0,76561198837653785
169,BananaHitsEnemyOnly,Combat,259.0,76561198837653785
170,EnemyArmorBroken,Combat,19449.0,76561198837653785
171,DeathsCustom1,Custom1,523.0,76561198837653785
172,MostKillsCustom1,Custom1,12.0,76561198837653785
173,FlagCaps,Custom1,312.0,76561198837653785
174,GamesCustom1,Custom1,746.0,76561198837653785
175,KillsCustom1,Custom1,602.0,76561198837653785
176,WinsCustom1,Custom1,370.0,76561198837653785
177,WinsCustom1B,Custom1B,126.0,76561198837653785
178,DeathsCustom1B,Custom1B,1023.0,76561198837653785
179,KillsCustom1B,Custom1B,1397.0,76561198837653785
180,GamesCustom1B,Custom1B,212.0,76561198837653785
181,FlagCapsB,Custom1B,83.0,76561198837653785
182,MostKillsCustom1B,Custom1B,26.0,76561198837653785
183,Top2Custom2,Custom2,281.0,76561198837653785
184,GamesCustom2,Custom2,967.0,76561198837653785
185,MostKillsCustom2,Custom2,12.0,76561198837653785
186,WinsCustom2,Custom2,196.0,76561198837653785
187,DeathsCustom2,Custom2,835.0,76561198837653785
188,KillsCustom2,Custom2,1211.0,76561198837653785
189,MostKillsCustom3Z,Custom3,7.0,76561198837653785
190,KillsCustom3Z,Custom3,275.0,76561198837653785
191,GamesCustom3,Custom3,485.0,76561198837653785
192,KillsCustom3,Custom3,2396.0,76561198837653785
193,MostKillsCustom3,Custom3,22.0,76561198837653785
194,WinsCustom3,Custom3,123.0,76561198837653785
195,DeathsCustom3Z,Custom3,732.0,76561198837653785
196,DeathsCustom3,Custom3,362.0,76561198837653785
197,DeathsDuos,Duos,837.0,76561198837653785
198,WinsDuos,Duos,86.0,76561198837653785
199,GamesDuos,Duos,911.0,76561198837653785
200,KillsDuos,Duos,1389.0,76561198837653785
201,Top3Duos,Duos,206.0,76561198837653785
202,MostKillsDuos,Duos,13.0,76561198837653785
203,CandyCorn,Event,62102.0,76561198837653785
204,KillsSMG,Kill Statistics,1268.0,76561198837653785
205,KillsDeagle,Kill Statistics,404.0,76561198837653785
206,KillsThomas,Kill Statistics,551.0,76561198837653785
207,KillsCrossbow,Kill Statistics,111.0,76561198837653785
208,KillsJag7,Kill Statistics,436.0,76561198837653785
209,KillsMagnum,Kill Statistics,422.0,76561198837653785
210,KillsSilencedPistol,Kill Statistics,446.0,76561198837653785
211,KillsHuntingRifle,Kill Statistics,152.0,76561198837653785
212,KillsSniper,Kill Statistics,360.0,76561198837653785
213,KillsEgg,Kill Statistics,34.0,76561198837653785
214,KillsMinigun,Kill Statistics,115.0,76561198837653785
215,KillsM16,Kill Statistics,460.0,76561198837653785
216,MeleeKills,Kill Statistics,269.0,76561198837653785
217,KillsDualPistol,Kill Statistics,625.0,76561198837653785
218,KillsShotgun,Kill Statistics,771.0,76561198837653785
219,KillsAK,Kill Statistics,1119.0,76561198837653785
220,KillsBow,Kill Statistics,1066.0,76561198837653785
221,KillsDart,Kill Statistics,207.0,76561198837653785
222,KillsPistol,Kill Statistics,185.0,76561198837653785
223,VehicleKills,Kill Statistics,56.0,76561198837653785
224,GrenadeKills,Kill Statistics,504.0,76561198837653785
225,EmuKills,Kill Statistics,10.0,76561198837653785
226,NPCLab,Milestones,2.0,76561198837653785
227,NoDancing,Milestones,1.0,76561198837653785
228,NpcSphynx,Milestones,2.0,76561198837653785
229,DancingInTheRain,Milestones,59.0,76561198837653785
230,StorytimeDonk,Milestones,10.0,76561198837653785
231,BarnRebelDoor,Milestones,658.0,76561198837653785
232,CoconutsAte,Miscellaneous,1341.0,76561198837653785
233,AccountExpIntoCurrentLevelNew,Miscellaneous,2241.0,76561198837653785
234,ChickenWins,Miscellaneous,1.0,76561198837653785
235,DistanceTraveled,Miscellaneous,7881568.0,76561198837653785
236,GrassCut,Miscellaneous,39573.0,76561198837653785
237,ParachuteSplats,Miscellaneous,794.0,76561198837653785
238,BananOfferings,Miscellaneous,60.0,76561198837653785
239,BeGalleryTarget,Miscellaneous,4.0,76561198837653785
240,TimePlayedSeconds,Miscellaneous,1705609.0,76561198837653785
241,CrabDance,Miscellaneous,549.0,76561198837653785
242,DistanceTraveledIceW2,Miscellaneous,67991.0,76561198837653785
243,BowHitsOneMatch,Miscellaneous,20.0,76561198837653785
244,GalleryTargetsHit,Miscellaneous,14.0,76561198837653785
245,AccountLevelNew,Miscellaneous,662.0,76561198837653785
246,SuperJumpRolls,Miscellaneous,840736.0,76561198837653785
247,CampfiresUsed,Miscellaneous,727.0,76561198837653785
248,GalleryTargetsHitBow,Miscellaneous,1.0,76561198837653785
249,TurkeyWins,Miscellaneous,1.0,76561198837653785
250,HealthJuiceDrank,Miscellaneous,221244.0,76561198837653785
251,TapeUsed,Miscellaneous,9527.0,76561198837653785
252,ChestOpens,Miscellaneous,9811.0,76561198837653785
253,RatGG,Miscellaneous,26.0,76561198837653785
254,MushroomsAte,Miscellaneous,2765.0,76561198837653785
255,Scarecrows,Miscellaneous,45.0,76561198837653785
256,MoleCrates,Miscellaneous,619.0,76561198837653785
257,Games,Solo,703.0,76561198837653785
258,Kills,Solo,776.0,76561198837653785
259,MostKills,Solo,14.0,76561198837653785
260,PacifistVictoriesSolo,Solo,3.0,76561198837653785
261,Deaths,Solo,682.0,76561198837653785
262,Wins,Solo,21.0,76561198837653785
263,MeleeVictoriesSolo,Solo,3.0,76561198837653785
264,Top5,Solo,111.0,76561198837653785
265,GamesSquads,Squads,4678.0,76561198837653785
266,MostKillsSquads,Squads,15.0,76561198837653785
267,KillsSquads,Squads,5610.0,76561198837653785
268,WinsSquads,Squads,657.0,76561198837653785
269,DeathsSquads,Squads,4224.0,76561198837653785
270,Top2Squads,Squads,989.0,76561198837653785
271,BananaHits,Combat,1566.0,76561198035413787
272,BananaHitsEnemyOnly,Combat,979.0,76561198035413787
273,EnemyArmorBroken,Combat,23506.0,76561198035413787
274,DestructiblesDestroyed,Combat,77251.0,76561198035413787
275,SkunkBombDamageDealt,Combat,83012.0,76561198035413787
276,DamageDealt,Combat,2389134.0,76561198035413787
277,Healing,Combat,47851.0,76561198035413787
278,GamesCustom1,Custom1,65.0,76561198035413787
279,DeathsCustom1,Custom1,50.0,76561198035413787
280,FlagCaps,Custom1,28.0,76561198035413787
281,MostKillsCustom1,Custom1,2.0,76561198035413787
282,WinsCustom1,Custom1,28.0,76561198035413787
283,KillsCustom1,Custom1,30.0,76561198035413787
284,FlagCapsB,Custom1B,7.0,76561198035413787
285,WinsCustom1B,Custom1B,18.0,76561198035413787
286,DeathsCustom1B,Custom1B,128.0,76561198035413787
287,MostKillsCustom1B,Custom1B,16.0,76561198035413787
288,KillsCustom1B,Custom1B,160.0,76561198035413787
289,GamesCustom1B,Custom1B,25.0,76561198035413787
290,Top2Custom2,Custom2,84.0,76561198035413787
291,GamesCustom2,Custom2,324.0,76561198035413787
292,KillsCustom2,Custom2,456.0,76561198035413787
293,DeathsCustom2,Custom2,292.0,76561198035413787
294,MostKillsCustom2,Custom2,9.0,76561198035413787
295,WinsCustom2,Custom2,42.0,76561198035413787
296,GamesCustom3,Custom3,230.0,76561198035413787
297,MostKillsCustom3Z,Custom3,7.0,76561198035413787
298,DeathsCustom3,Custom3,213.0,76561198035413787
299,KillsCustom3Z,Custom3,149.0,76561198035413787
300,WinsCustom3,Custom3,17.0,76561198035413787
301,MostKillsCustom3,Custom3,32.0,76561198035413787
302,KillsCustom3,Custom3,844.0,76561198035413787
303,DeathsCustom3Z,Custom3,419.0,76561198035413787
304,WinsDuos,Duos,104.0,76561198035413787
305,GamesDuos,Duos,1165.0,76561198035413787
306,DeathsDuos,Duos,1073.0,76561198035413787
307,MostKillsDuos,Duos,12.0,76561198035413787
308,KillsDuos,Duos,1929.0,76561198035413787
309,Top3Duos,Duos,234.0,76561198035413787
310,CandyCorn,Event,80802.0,76561198035413787
311,KillsThomas,Kill Statistics,567.0,76561198035413787
312,KillsCrossbow,Kill Statistics,548.0,76561198035413787
313,KillsSMG,Kill Statistics,1490.0,76561198035413787
314,KillsBow,Kill Statistics,429.0,76561198035413787
315,KillsAK,Kill Statistics,1209.0,76561198035413787
316,KillsDeagle,Kill Statistics,638.0,76561198035413787
317,KillsSniper,Kill Statistics,244.0,76561198035413787
318,KillsShotgun,Kill Statistics,911.0,76561198035413787
319,KillsJag7,Kill Statistics,491.0,76561198035413787
320,KillsHuntingRifle,Kill Statistics,221.0,76561198035413787
321,KillsSilencedPistol,Kill Statistics,553.0,76561198035413787
322,KillsMagnum,Kill Statistics,808.0,76561198035413787
323,KillsEgg,Kill Statistics,169.0,76561198035413787
324,KillsMinigun,Kill Statistics,185.0,76561198035413787
325,EmuKills,Kill Statistics,202.0,76561198035413787
326,KillsM16,Kill Statistics,512.0,76561198035413787
327,MeleeKills,Kill Statistics,318.0,76561198035413787
328,KillsDart,Kill Statistics,414.0,76561198035413787
329,KillsPistol,Kill Statistics,287.0,76561198035413787
330,GrenadeKills,Kill Statistics,617.0,76561198035413787
331,VehicleKills,Kill Statistics,523.0,76561198035413787
332,KillsDualPistol,Kill Statistics,641.0,76561198035413787
333,StorytimeDonk,Milestones,1.0,76561198035413787
334,NpcSphynx,Milestones,2.0,76561198035413787
335,NoDancing,Milestones,1.0,76561198035413787
336,DancingInTheRain,Milestones,271.0,76561198035413787
337,NPCLab,Milestones,2.0,76561198035413787
338,BarnRebelDoor,Milestones,502.0,76561198035413787
339,ParachuteSplats,Miscellaneous,707.0,76561198035413787
340,BeGalleryTarget,Miscellaneous,39.0,76561198035413787
341,AccountExpIntoCurrentLevelNew,Miscellaneous,3120.0,76561198035413787
342,AccountLevelNew,Miscellaneous,778.0,76561198035413787
343,GrassCut,Miscellaneous,140886.0,76561198035413787
344,DistanceTraveled,Miscellaneous,8780243.0,76561198035413787
345,BowHitsOneMatch,Miscellaneous,22.0,76561198035413787
346,ChickenWins,Miscellaneous,2.0,76561198035413787
347,CoconutsAte,Miscellaneous,17086.0,76561198035413787
348,GalleryTargetsHit,Miscellaneous,91.0,76561198035413787
349,BananOfferings,Miscellaneous,16.0,76561198035413787
350,CampfiresUsed,Miscellaneous,1654.0,76561198035413787
351,TurkeyWins,Miscellaneous,2.0,76561198035413787
352,MushroomsAte,Miscellaneous,18220.0,76561198035413787
353,TimePlayedSeconds,Miscellaneous,1740360.0,76561198035413787
354,DistanceTraveledIceW2,Miscellaneous,76543.0,76561198035413787
355,GalleryTargetsHitBow,Miscellaneous,14.0,76561198035413787
356,TapeUsed,Miscellaneous,12286.0,76561198035413787
357,SuperJumpRolls,Miscellaneous,771557.0,76561198035413787
358,CrabDance,Miscellaneous,715.0,76561198035413787
359,ChestOpens,Miscellaneous,12230.0,76561198035413787
360,RatGG,Miscellaneous,42.0,76561198035413787
361,HealthJuiceDrank,Miscellaneous,317817.0,76561198035413787
362,MoleCrates,Miscellaneous,794.0,76561198035413787
363,Scarecrows,Miscellaneous,829.0,76561198035413787
364,Deaths,Solo,2030.0,76561198035413787
365,PacifistVictoriesSolo,Solo,1.0,76561198035413787
366,Top5,Solo,435.0,76561198035413787
367,Wins,Solo,133.0,76561198035413787
368,Games,Solo,2163.0,76561198035413787
369,MeleeVictoriesSolo,Solo,1.0,76561198035413787
370,NoArmorVictoriesSolo,Solo,1.0,76561198035413787
371,MostKills,Solo,19.0,76561198035413787
372,Kills,Solo,4042.0,76561198035413787
373,MostKillsSquads,Squads,14.0,76561198035413787
374,GamesSquads,Squads,3805.0,76561198035413787
375,Top2Squads,Squads,964.0,76561198035413787
376,WinsSquads,Squads,607.0,76561198035413787
377,KillsSquads,Squads,5562.0,76561198035413787
378,DeathsSquads,Squads,3402.0,76561198035413787
379,BananaHitsEnemyOnly,Combat,21.0,76561197964232871
380,BananaHits,Combat,46.0,76561197964232871
381,DestructiblesDestroyed,Combat,5237.0,76561197964232871
382,DamageDealt,Combat,266176.0,76561197964232871
383,SkunkBombDamageDealt,Combat,8113.0,76561197964232871
384,Healing,Combat,5521.0,76561197964232871
385,EnemyArmorBroken,Combat,4451.0,76561197964232871
386,DeathsCustom1B,Custom1B,34.0,76561197964232871
387,WinsCustom1B,Custom1B,6.0,76561197964232871
388,MostKillsCustom1B,Custom1B,22.0,76561197964232871
389,GamesCustom1B,Custom1B,10.0,76561197964232871
390,KillsCustom1B,Custom1B,109.0,76561197964232871
391,GamesDuos,Duos,310.0,76561197964232871
392,DeathsDuos,Duos,235.0,76561197964232871
393,MostKillsDuos,Duos,12.0,76561197964232871
394,KillsDuos,Duos,912.0,76561197964232871
395,Top3Duos,Duos,131.0,76561197964232871
396,WinsDuos,Duos,77.0,76561197964232871
397,CandyCorn,Event,26635.0,76561197964232871
398,KillsMagnum,Kill Statistics,58.0,76561197964232871
399,KillsSniper,Kill Statistics,6.0,76561197964232871
400,KillsThomas,Kill Statistics,85.0,76561197964232871
401,KillsSilencedPistol,Kill Statistics,59.0,76561197964232871
402,KillsDeagle,Kill Statistics,25.0,76561197964232871
403,KillsJag7,Kill Statistics,26.0,76561197964232871
404,KillsSMG,Kill Statistics,407.0,76561197964232871
405,KillsMinigun,Kill Statistics,15.0,76561197964232871
406,KillsCrossbow,Kill Statistics,22.0,76561197964232871
407,KillsDart,Kill Statistics,15.0,76561197964232871
408,KillsShotgun,Kill Statistics,70.0,76561197964232871
409,KillsAK,Kill Statistics,349.0,76561197964232871
410,KillsBow,Kill Statistics,3.0,76561197964232871
411,KillsM16,Kill Statistics,55.0,76561197964232871
412,KillsPistol,Kill Statistics,11.0,76561197964232871
413,EmuKills,Kill Statistics,3.0,76561197964232871
414,KillsHuntingRifle,Kill Statistics,3.0,76561197964232871
415,KillsDualPistol,Kill Statistics,172.0,76561197964232871
416,VehicleKills,Kill Statistics,2.0,76561197964232871
417,MeleeKills,Kill Statistics,4.0,76561197964232871
418,GrenadeKills,Kill Statistics,55.0,76561197964232871
419,BarnRebelDoor,Milestones,1.0,76561197964232871
420,DancingInTheRain,Milestones,1.0,76561197964232871
421,ChestOpens,Miscellaneous,1176.0,76561197964232871
422,ParachuteSplats,Miscellaneous,51.0,76561197964232871
423,AccountExpIntoCurrentLevelNew,Miscellaneous,3506.0,76561197964232871
424,AccountLevelNew,Miscellaneous,82.0,76561197964232871
425,CoconutsAte,Miscellaneous,146.0,76561197964232871
426,BowHitsOneMatch,Miscellaneous,10.0,76561197964232871
427,GrassCut,Miscellaneous,12187.0,76561197964232871
428,MushroomsAte,Miscellaneous,271.0,76561197964232871
429,TapeUsed,Miscellaneous,1399.0,76561197964232871
430,CampfiresUsed,Miscellaneous,70.0,76561197964232871
431,TimePlayedSeconds,Miscellaneous,163328.0,76561197964232871
432,MoleCrates,Miscellaneous,35.0,76561197964232871
433,DistanceTraveledIceW2,Miscellaneous,2172.0,76561197964232871
434,HealthJuiceDrank,Miscellaneous,29544.0,76561197964232871
435,DistanceTraveled,Miscellaneous,800464.0,76561197964232871
436,SuperJumpRolls,Miscellaneous,66489.0,76561197964232871
437,Scarecrows,Miscellaneous,4.0,76561197964232871
438,Kills,Solo,123.0,76561197964232871
439,Wins,Solo,7.0,76561197964232871
440,Games,Solo,47.0,76561197964232871
441,Deaths,Solo,40.0,76561197964232871
442,MostKills,Solo,7.0,76561197964232871
443,Top5,Solo,21.0,76561197964232871
444,KillsSquads,Squads,413.0,76561197964232871
445,Top2Squads,Squads,70.0,76561197964232871
446,DeathsSquads,Squads,139.0,76561197964232871
447,MostKillsSquads,Squads,10.0,76561197964232871
448,GamesSquads,Squads,178.0,76561197964232871
449,WinsSquads,Squads,43.0,76561197964232871
450,BananaHitsEnemyOnly,Combat,73.0,76561198093685288
451,EnemyArmorBroken,Combat,2707.0,76561198093685288
452,BananaHits,Combat,118.0,76561198093685288
453,DestructiblesDestroyed,Combat,9123.0,76561198093685288
454,SkunkBombDamageDealt,Combat,2848.0,76561198093685288
455,Healing,Combat,1838.0,76561198093685288
456,DamageDealt,Combat,495186.0,76561198093685288
457,GamesCustom1,Custom1,14.0,76561198093685288
458,DeathsCustom1,Custom1,10.0,76561198093685288
459,MostKillsCustom1,Custom1,5.0,76561198093685288
460,WinsCustom1,Custom1,5.0,76561198093685288
461,FlagCaps,Custom1,2.0,76561198093685288
462,KillsCustom1,Custom1,25.0,76561198093685288
463,WinsCustom1B,Custom1B,26.0,76561198093685288
464,FlagCapsB,Custom1B,3.0,76561198093685288
465,DeathsCustom1B,Custom1B,191.0,76561198093685288
466,MostKillsCustom1B,Custom1B,34.0,76561198093685288
467,GamesCustom1B,Custom1B,39.0,76561198093685288
468,KillsCustom1B,Custom1B,507.0,76561198093685288
469,MostKillsDuos,Duos,16.0,76561198093685288
470,DeathsDuos,Duos,186.0,76561198093685288
471,WinsDuos,Duos,53.0,76561198093685288
472,GamesDuos,Duos,235.0,76561198093685288
473,KillsDuos,Duos,706.0,76561198093685288
474,Top3Duos,Duos,99.0,76561198093685288
475,Presents,Event,394.0,76561198093685288
476,CandyCorn,Event,8068.0,76561198093685288
477,EggsAte,Event,28.0,76561198093685288
478,FruitBaskets,Event,277.0,76561198093685288
479,MeleeKills,Kill Statistics,70.0,76561198093685288
480,KillsMinigun,Kill Statistics,5.0,76561198093685288
481,KillsHuntingRifle,Kill Statistics,4.0,76561198093685288
482,KillsM16,Kill Statistics,23.0,76561198093685288
483,KillsDeagle,Kill Statistics,9.0,76561198093685288
484,KillsSMG,Kill Statistics,42.0,76561198093685288
485,KillsCrossbow,Kill Statistics,8.0,76561198093685288
486,KillsThomas,Kill Statistics,9.0,76561198093685288
487,KillsSilencedPistol,Kill Statistics,20.0,76561198093685288
488,KillsJag7,Kill Statistics,5.0,76561198093685288
489,KillsSniper,Kill Statistics,11.0,76561198093685288
490,KillsMagnum,Kill Statistics,2.0,76561198093685288
491,KillsEgg,Kill Statistics,10.0,76561198093685288
492,KillsBow,Kill Statistics,57.0,76561198093685288
493,KillsAK,Kill Statistics,144.0,76561198093685288
494,KillsShotgun,Kill Statistics,21.0,76561198093685288
495,KillsDualPistol,Kill Statistics,31.0,76561198093685288
496,KillsPistol,Kill Statistics,11.0,76561198093685288
497,KillsDart,Kill Statistics,12.0,76561198093685288
498,VehicleKills,Kill Statistics,34.0,76561198093685288
499,EmuKills,Kill Statistics,8.0,76561198093685288
500,GrenadeKills,Kill Statistics,41.0,76561198093685288
501,AccountLevel,Legacy,23.0,76561198093685288
502,AccountExpIntoCurrentLevel,Legacy,1319.0,76561198093685288
503,NoDancing,Milestones,1.0,76561198093685288
504,NpcSphynx,Milestones,2.0,76561198093685288
505,BarnRebelDoor,Milestones,23.0,76561198093685288
